Round,Round Key (k),"f(Rn-1, Kn)",Ln,Rn
1,101000001001001011000010101100111110000011011110,01101010110011110011001101111111,10011011111100000011101010111010,00100111111011100101001110110101
2,101000000001001001010010110000110010111100011111,00110100000100110111110010111111,00100111111011100101001110110101,11110001001111110000100111000101
3,001001000101101001010000001111110011001110011000,11011011100001001010110000100000,11110001001111110000100111000101,00010011111111010010111100001010
4,000001100111000101010000011100010101000101100111,10110110110000011111100010111100,00010011111111010010111100001010,00101010101110111010010111100101
5,000011100100010101010001010001101010100010101110,01111000110001011101110101001111,00101010101110111010010111100101,10100101001111001101011110110110
6,010011110100000100001001111001000011110111011101,11000110100010110111000000101101,10100101001111001101011110110110,01010010011111100111100010101010
7,000010111000000110001001001010111001001011111011,10001011111011011001000111000010,01010010011111100111100010101010,01100011101101111010011110011011
8,000110010000100010001011010101111101110100100011,00110111000110100000001101000111,01100011101101111010011110011011,11011001100100111110100101101000
9,000110010000101010001000001111001101101100001110,10101111100100100000011010101110,11011001100100111110100101101000,01010100101011011010010011011100
10,000100000011100010001100110101000101010011110010,01100011110100010011001100001110,01010100101011011010010011011100,01110110000000011110111111000110
11,000100000010110001000100110011011010101001101001,10010111110001101001100111001000,01110110000000011110111111000110,00110111011111001001011111010010
12,010000000110110000100100101100101111111001011000,10111010101000000110010111101001,00110111011111001001011111010010,11100001110001110111011000001110
13,110000001010010100100100001110011001011100110110,01011111111001111010011001000111,11100001110001110111011000001110,10001101110111001111001000111011
14,110000001000011000100011100111010110110010100010,00100011000101100011110110000000,10001101110111001111001000111011,10111110001000001101000001001001
15,111000011001001000100010011011000110101001010101,10111110001000000111101000011011,10111110001000001101000001001001,10101110110010101100111110111011
16,101000001001001000101010111100101000100010110001,01010001100110111100100011010010,00000000000000001010101001010010,11111111010100010000011101101001
